/root/.local/lib/python3.11/site-packages/matplotlib/projections/__init__.py:63: UserWarning: Unable to import Axes3D. This may be due to multiple versions of Matplotlib being installed (e.g. as a system package and as a pip package). As a result, the 3D projection is not available.
  warnings.warn("Unable to import Axes3D. This may be due to multiple versions of "
# dimer NX=32 steps=30000000 seed=2
# r  g(r)  count  F=-ln(count/g)
1 9216 115499 -2.5283
3 27648 238445 -2.1546
5 46080 317872 -1.9313
7 64512 374359 -1.7584
9 82944 426390 -1.6372
11 101376 473170 -1.5406
13 119808 513329 -1.4550
15 138240 553122 -1.3866
17 156672 592614 -1.3304
19 175104 631219 -1.2823
21 193536 667500 -1.2381
23 211968 705595 -1.2026
25 230400 739745 -1.1665
27 248832 772530 -1.1329
29 267264 803406 -1.1006
31 285696 835905 -1.0736
33 304128 866506 -1.0470
35 322560 896318 -1.0220
37 340992 926443 -0.9995
39 359424 959344 -0.9817
41 377856 994534 -0.9678
43 396288 1033759 -0.9588
45 414720 1076570 -0.9539
47 433152 1116194 -0.9466
49 451584 1154194 -0.9384
51 470016 1194244 -0.9325
53 488448 1232733 -0.9258
55 506880 1273820 -0.9215
57 525312 1314072 -0.9169
59 543744 1352285 -0.9111
61 562176 1399852 -0.9123
63 580608 1448432 -0.9142
