# pair: hops=10  triangle-graph distance d_tri(A,B)=21
# loop  lower  E_inf  certified  sector
0 11 11 True (0, 0)
1 11 11 True (0, 0)
2 11 11 True (0, 0)
3 11 11 True (0, 0)
4 11 11 True (0, 0)
5 11 11 True (0, 0)
6 11 11 True (0, 0)
7 11 11 True (0, 0)
8 11 11 True (0, 0)
9 11 11 True (0, 0)
10 11 11 True (0, 0)
11 11 11 True (0, 0)
12 11 11 True (0, 0)
13 11 11 True (0, 0)
14 11 11 True (0, 0)
15 11 11 True (0, 0)
16 11 11 True (0, 0)
17 12 12 True (0, 0)
18 12 12 True (0, 0)
19 12 12 True (0, 0)
20 12 12 True (0, 0)
21 12 12 True (0, 0)
22 12 12 True (0, 0)
23 12 12 True (0, 0)
24 12 12 True (0, 0)
25 12 12 True (0, 0)
26 12 12 True (0, 0)
27 12 12 True (0, 0)
28 12 12 True (0, 0)
29 12 12 True (0, 0)
30 12 12 True (0, 0)
31 12 12 True (0, 0)
32 12 12 True (0, 0)
33 12 12 True (0, 0)
34 12 12 True (0, 0)
35 12 12 True (0, 0)
36 12 12 True (0, 0)
37 12 12 True (0, 0)
38 12 12 True (0, 0)
39 12 12 True (0, 0)
40 12 12 True (0, 0)
