# many: p=0.0404  monomers=62
# loop  lower(no homology)  E_inf(exact, MILP)  sector
0 107 109 (0, 0)
1 107 109 (0, 0)
2 107 109 (0, 0)
3 107 109 (0, 0)
4 108 109 (0, 0)
5 108 109 (0, 0)
6 108 109 (0, 0)
7 108 109 (0, 0)
8 108 109 (0, 0)
9 108 109 (0, 0)
10 108 109 (0, 0)
11 108 109 (0, 0)
12 108 109 (0, 0)
13 108 109 (0, 0)
14 108 109 (0, 0)
15 108 109 (0, 0)
16 108 109 (0, 0)
17 108 109 (0, 0)
18 108 109 (0, 0)
19 106 108 (0, 0)
20 106 108 (0, 0)
