# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=1.0 D3=10.0 mu=0.5 n_eq=2000 n_meas=10000 seed=7
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
1.0000 1.0000 0.615935 0.47088 0.192012 0.18791 0.000216 0.19570 0.439991 0.070567 0.001273 -0.05715
0.9545 1.0476 0.592006 0.53078 0.181927 0.19008 0.000138 0.20212 0.439883 0.068412 0.001298 -0.03509
0.9130 1.0952 0.568821 0.60043 0.172123 0.18234 0.000091 0.20660 0.439821 0.066765 0.001375 -0.03623
0.8750 1.1429 0.542657 0.70379 0.161968 0.18152 0.000063 0.21966 0.440184 0.065259 0.001517 -0.04827
0.8400 1.1905 0.518660 0.80708 0.151718 0.17665 0.000031 0.22531 0.440101 0.063915 0.001763 -0.00967
0.8077 1.2381 0.490963 0.80616 0.140431 0.16591 0.000024 0.21421 0.439675 0.063957 0.002154 -0.08726
0.7778 1.2857 0.465959 0.93808 0.130207 0.16765 0.000015 0.23227 0.439718 0.063973 0.003038 -0.11019
0.7500 1.3333 0.441820 0.94683 0.119851 0.16017 0.000007 0.21908 0.439303 0.064730 0.003193 -0.04462
0.7241 1.3810 0.415350 1.01638 0.109068 0.15667 0.000007 0.22447 0.438345 0.066903 0.006676 -0.10054
0.7000 1.4286 0.388923 1.06090 0.097834 0.15522 0.000003 0.22721 0.437311 0.069225 0.008250 0.02984
0.6774 1.4762 0.370385 1.03902 0.089329 0.14367 0.000002 0.21307 0.436713 0.070345 0.007510 0.09966
0.6562 1.5238 0.345246 1.02701 0.078641 0.13339 0.000000 0.19973 0.433025 0.079189 0.023910 0.20524
0.6364 1.5714 0.321882 0.96190 0.068837 0.12383 0.000001 0.18091 0.428294 0.090747 0.048911 0.34795
0.6176 1.6190 0.301834 0.79218 0.059992 0.10773 0.000000 0.14920 0.423764 0.101888 0.075324 0.43126
0.6000 1.6667 0.295289 1.00648 0.054940 0.10343 0.000000 0.15633 0.425730 0.095644 0.053658 0.16847
0.5833 1.7143 0.285416 0.76135 0.049443 0.09090 0.000000 0.12544 0.425568 0.095385 0.045466 0.15834
0.5676 1.7619 0.267880 0.61132 0.042749 0.07935 0.000000 0.10240 0.416302 0.118668 0.115612 0.44566
0.5526 1.8095 0.259598 0.55714 0.038124 0.06920 0.000000 0.08778 0.414254 0.123251 0.123767 0.44272
0.5385 1.8571 0.253000 0.53040 0.034244 0.06206 0.000000 0.07779 0.413313 0.124868 0.118700 0.39724
0.5250 1.9048 0.246638 0.51305 0.030767 0.05975 0.000000 0.07411 0.411286 0.128540 0.126125 0.41135
0.5122 1.9524 0.238742 0.48114 0.027288 0.05166 0.000000 0.06448 0.406168 0.141169 0.172591 0.45497
0.5000 2.0000 0.233452 0.45335 0.024572 0.04736 0.000000 0.05830 0.403667 0.147281 0.188640 0.45743
0.4884 2.0476 0.228111 0.38026 0.021804 0.04123 0.000000 0.04772 0.400936 0.153177 0.206391 0.46669
0.4773 2.0952 0.223725 0.38299 0.019498 0.03672 0.000000 0.04325 0.398644 0.158927 0.222763 0.46560
0.4667 2.1429 0.219258 0.35562 0.017530 0.03419 0.000000 0.03942 0.395061 0.167859 0.250863 0.47301
0.4565 2.1905 0.216180 0.33045 0.016049 0.03120 0.000000 0.03575 0.393085 0.172680 0.266270 0.47816
0.4468 2.2381 0.213053 0.32248 0.014205 0.02725 0.000000 0.03108 0.391539 0.175926 0.276079 0.47562
0.4375 2.2857 0.211107 0.31843 0.012911 0.02441 0.000000 0.02750 0.391019 0.176468 0.277864 0.47390
0.4286 2.3333 0.207269 0.28712 0.011598 0.02336 0.000000 0.02580 0.386920 0.187388 0.315664 0.48139
0.4200 2.3810 0.205390 0.28076 0.010440 0.02071 0.000000 0.02317 0.386195 0.188662 0.318200 0.48037
0.4118 2.4286 0.202418 0.27863 0.009383 0.01876 0.000000 0.02063 0.382868 0.197516 0.351165 0.48159
0.4038 2.4762 0.200140 0.27208 0.008429 0.01645 0.000000 0.01844 0.380672 0.203096 0.372318 0.48271
0.3962 2.5238 0.199324 0.26932 0.007615 0.01500 0.000000 0.01671 0.381010 0.200931 0.362400 0.48023
0.3889 2.5714 0.196401 0.24254 0.006883 0.01383 0.000000 0.01564 0.377038 0.212429 0.407116 0.48712
0.3818 2.6190 0.195399 0.25365 0.006222 0.01250 0.000000 0.01384 0.376597 0.212781 0.408827 0.48433
0.3750 2.6667 0.193356 0.22243 0.005571 0.01078 0.000000 0.01159 0.374053 0.219513 0.435143 0.48725
0.3684 2.7143 0.191440 0.20963 0.005077 0.00976 0.000000 0.01043 0.371391 0.226732 0.464264 0.48872
0.3621 2.7619 0.190162 0.20947 0.004578 0.00907 0.000000 0.01001 0.370014 0.230252 0.478769 0.48945
0.3559 2.8095 0.189210 0.20123 0.004065 0.00814 0.000000 0.00866 0.369341 0.231890 0.485506 0.48981
0.3500 2.8571 0.188211 0.19762 0.003762 0.00767 0.000000 0.00831 0.368044 0.235280 0.499770 0.49045
