# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri
6.0000 0.1667 0.994408 0.09453 0.388892 0.31375 0.109536 0.06842
4.0286 0.2482 0.779047 0.12564 0.382823 0.31544 0.062463 0.08356
3.0323 0.3298 0.646399 0.13706 0.375886 0.30862 0.034640 0.07603
2.4310 0.4113 0.562830 0.14042 0.369323 0.30672 0.018861 0.08786
2.0288 0.4929 0.507834 0.13443 0.362453 0.30037 0.010027 0.08356
1.7407 0.5745 0.468658 0.13591 0.355429 0.30730 0.005250 0.09177
1.5243 0.6560 0.438811 0.14052 0.348284 0.30321 0.002726 0.09157
1.3558 0.7376 0.413536 0.15835 0.340410 0.29455 0.001399 0.09349
1.2208 0.8191 0.390348 0.18093 0.332432 0.29228 0.000686 0.10593
1.1102 0.9007 0.368439 0.21328 0.323518 0.29284 0.000347 0.11142
1.0181 0.9823 0.347155 0.25637 0.314425 0.28915 0.000173 0.12590
0.9400 1.0638 0.325319 0.30370 0.303936 0.28528 0.000092 0.13146
0.8731 1.1454 0.303055 0.34825 0.292602 0.28766 0.000040 0.14102
0.8150 1.2270 0.280910 0.39641 0.280739 0.28000 0.000022 0.14779
0.7642 1.3085 0.259288 0.45664 0.268058 0.27778 0.000008 0.15807
0.7194 1.3901 0.237853 0.51938 0.254559 0.28211 0.000005 0.17425
0.6795 1.4716 0.216965 0.54631 0.240910 0.27886 0.000002 0.17369
0.6438 1.5532 0.195997 0.59012 0.226528 0.26615 0.000001 0.17315
0.6117 1.6348 0.176145 0.60972 0.211588 0.26845 0.000001 0.17853
0.5826 1.7163 0.159139 0.63182 0.197863 0.26022 0.000000 0.17556
0.5562 1.7979 0.143058 0.61637 0.184036 0.25558 0.000000 0.16939
0.5321 1.8794 0.125558 0.61501 0.168680 0.24622 0.000000 0.16292
0.5099 1.9610 0.111846 0.64066 0.155428 0.24342 0.000000 0.16461
0.4896 2.0426 0.099872 0.58211 0.143305 0.22193 0.000000 0.14516
0.4708 2.1241 0.088774 0.55671 0.131438 0.21069 0.000000 0.13529
0.4534 2.2057 0.077792 0.50987 0.119498 0.19807 0.000000 0.12477
0.4372 2.2872 0.071399 0.49830 0.111036 0.18585 0.000000 0.11549
0.4222 2.3688 0.062890 0.47604 0.100955 0.17871 0.000000 0.10953
0.4081 2.4504 0.057103 0.44907 0.092940 0.16343 0.000000 0.09866
0.3950 2.5319 0.051568 0.42304 0.085321 0.15180 0.000000 0.09055
0.3826 2.6135 0.045885 0.37809 0.077864 0.13757 0.000000 0.07980
0.3711 2.6950 0.041375 0.36603 0.071414 0.13008 0.000000 0.07487
0.3602 2.7766 0.037744 0.35368 0.065785 0.12106 0.000000 0.06930
0.3499 2.8582 0.034161 0.32925 0.060351 0.11208 0.000000 0.06306
0.3402 2.9397 0.031292 0.31930 0.055558 0.10340 0.000000 0.05802
0.3310 3.0213 0.028246 0.29566 0.050842 0.09454 0.000000 0.05228
0.3223 3.1028 0.025755 0.27831 0.046751 0.08724 0.000000 0.04768
0.3140 3.1844 0.023553 0.26659 0.043109 0.08131 0.000000 0.04418
0.3062 3.2660 0.021299 0.25724 0.039377 0.07568 0.000000 0.04099
0.2987 3.3475 0.019589 0.24135 0.036403 0.06982 0.000000 0.03732
0.2916 3.4291 0.017793 0.22790 0.033261 0.06374 0.000000 0.03395
0.2848 3.5106 0.016323 0.21913 0.030681 0.05906 0.000000 0.03138
0.2784 3.5922 0.014941 0.21079 0.028215 0.05488 0.000000 0.02907
0.2722 3.6738 0.013700 0.20119 0.026011 0.05114 0.000000 0.02690
0.2663 3.7553 0.012498 0.18785 0.023820 0.04602 0.000000 0.02414
0.2606 3.8369 0.011410 0.17949 0.021842 0.04271 0.000000 0.02232
0.2552 3.9184 0.010575 0.17295 0.020280 0.03964 0.000000 0.02068
0.2500 4.0000 0.009667 0.16743 0.018621 0.03725 0.000000 0.01937
