# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
0.6000 1.6667 0.287001 0.64368 0.206255 0.26918 0.000001 0.17850 0.465633 0.087975 0.004510 -0.11035
0.5060 1.9762 0.225102 0.67395 0.153183 0.23557 0.000000 0.15996 0.459460 0.082366 0.013071 -0.00117
0.4375 2.2857 0.182299 0.51954 0.109467 0.18626 0.000000 0.11546 0.451165 0.084769 0.029586 0.19563
0.3853 2.5952 0.157253 0.42927 0.079606 0.14655 0.000000 0.08411 0.441039 0.094465 0.055616 0.34525
0.3443 2.9048 0.141566 0.38294 0.057292 0.10653 0.000000 0.05991 0.437194 0.093422 0.053468 0.18563
0.3111 3.2143 0.128638 0.32699 0.041534 0.07942 0.000000 0.04223 0.424149 0.115473 0.108162 0.37146
0.2838 3.5238 0.119971 0.30719 0.030365 0.05880 0.000000 0.03100 0.415177 0.131048 0.148150 0.40793
0.2609 3.8333 0.113726 0.29446 0.022099 0.04455 0.000000 0.02325 0.408710 0.141875 0.173505 0.40609
0.2414 4.1429 0.108018 0.25212 0.016109 0.03196 0.000000 0.01644 0.398778 0.163513 0.241072 0.45300
0.2246 4.4524 0.103619 0.22985 0.011821 0.02261 0.000000 0.01154 0.390277 0.182629 0.302301 0.46440
0.2100 4.7619 0.100543 0.21289 0.008612 0.01719 0.000000 0.00868 0.384666 0.194675 0.343211 0.47001
0.1972 5.0714 0.098167 0.20576 0.006257 0.01231 0.000000 0.00619 0.380005 0.205394 0.383192 0.47278
0.1858 5.3810 0.095552 0.19871 0.004651 0.00921 0.000000 0.00485 0.372824 0.223782 0.454011 0.47855
0.1757 5.6905 0.093743 0.18142 0.003479 0.00702 0.000000 0.00353 0.367964 0.236141 0.505385 0.48227
0.1667 6.0000 0.091916 0.15264 0.002470 0.00495 0.000000 0.00241 0.362696 0.250420 0.567575 0.48727
0.1585 6.3095 0.090734 0.14549 0.001797 0.00360 0.000000 0.00173 0.359336 0.259131 0.607627 0.48852
0.1511 6.6190 0.089924 0.14926 0.001337 0.00266 0.000000 0.00131 0.357014 0.264827 0.633648 0.48836
0.1443 6.9286 0.088699 0.13062 0.000987 0.00195 0.000000 0.00095 0.352819 0.277043 0.693615 0.49165
0.1382 7.2381 0.087995 0.12193 0.000729 0.00145 0.000000 0.00073 0.350521 0.283398 0.725379 0.49289
0.1325 7.5476 0.087264 0.11843 0.000507 0.00101 0.000000 0.00052 0.348039 0.290353 0.761132 0.49369
0.1273 7.8571 0.086726 0.10675 0.000386 0.00078 0.000000 0.00038 0.346130 0.295861 0.789886 0.49475
0.1224 8.1667 0.086204 0.09677 0.000280 0.00056 0.000000 0.00027 0.344257 0.301241 0.818507 0.49561
0.1180 8.4762 0.085845 0.08931 0.000217 0.00044 0.000000 0.00021 0.342944 0.304915 0.838386 0.49619
0.1138 8.7857 0.085344 0.07966 0.000138 0.00028 0.000000 0.00015 0.341099 0.310421 0.868572 0.49698
0.1099 9.0952 0.085241 0.08676 0.000106 0.00022 0.000000 0.00010 0.340752 0.311101 0.872561 0.49663
0.1063 9.4048 0.084862 0.06646 0.000086 0.00017 0.000000 0.00009 0.339277 0.315727 0.898155 0.49779
0.1029 9.7143 0.084586 0.06063 0.000066 0.00013 0.000000 0.00006 0.338209 0.318858 0.915913 0.49812
0.0998 10.0238 0.084430 0.05502 0.000043 0.00009 0.000000 0.00005 0.337634 0.320552 0.925534 0.49839
0.0968 10.3333 0.084286 0.04709 0.000042 0.00008 0.000000 0.00004 0.337059 0.322262 0.935283 0.49872
0.0940 10.6429 0.084133 0.04490 0.000027 0.00005 0.000000 0.00003 0.336476 0.323963 0.945127 0.49884
0.0913 10.9524 0.084037 0.04197 0.000019 0.00004 0.000000 0.00002 0.336112 0.325050 0.951418 0.49897
0.0888 11.2619 0.083952 0.04029 0.000013 0.00003 0.000000 0.00001 0.335783 0.326021 0.957067 0.49906
0.0864 11.5714 0.083825 0.03185 0.000006 0.00001 0.000000 0.00001 0.335288 0.327496 0.965630 0.49929
0.0842 11.8810 0.083770 0.03124 0.000006 0.00001 0.000000 0.00001 0.335068 0.328150 0.969467 0.49935
0.0820 12.1905 0.083688 0.02591 0.000007 0.00001 0.000000 0.00001 0.334738 0.329134 0.975218 0.49949
0.0800 12.5000 0.083656 0.02454 0.000002 0.00000 0.000000 0.00000 0.334620 0.329486 0.977278 0.49954
