# annealed L=24 N_site=1728 N_tri=3456 N_bond=5184 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
0.1931 5.1793 0.096983 0.19657 0.005665 0.01113 0.000000 0.00574 0.376468 0.214692
0.1856 5.3882 0.095574 0.18495 0.004595 0.00929 0.000000 0.00467 0.373019 0.223193
0.1787 5.5970 0.094287 0.18720 0.003716 0.00739 0.000000 0.00373 0.369664 0.231609
0.1722 5.8059 0.092964 0.17868 0.003036 0.00615 0.000000 0.00313 0.365748 0.242271
0.1663 6.0148 0.092101 0.16537 0.002424 0.00475 0.000000 0.00236 0.363533 0.247660
0.1607 6.2236 0.091192 0.15735 0.002009 0.00403 0.000000 0.00200 0.360737 0.255196
0.1555 6.4325 0.090310 0.14836 0.001614 0.00322 0.000000 0.00167 0.357999 0.262679
0.1506 6.6414 0.089629 0.14505 0.001303 0.00259 0.000000 0.00132 0.355903 0.268344
0.1460 6.8502 0.088856 0.13079 0.001047 0.00212 0.000000 0.00105 0.353325 0.275719
0.1417 7.0591 0.088342 0.13137 0.000864 0.00171 0.000000 0.00087 0.351637 0.280321
0.1376 7.2679 0.087839 0.11713 0.000693 0.00137 0.000000 0.00072 0.349967 0.284911
0.1337 7.4768 0.087421 0.11970 0.000560 0.00114 0.000000 0.00058 0.348562 0.288892
0.1301 7.6857 0.086973 0.11380 0.000470 0.00092 0.000000 0.00044 0.346950 0.293488
0.1267 7.8945 0.086703 0.11316 0.000388 0.00079 0.000000 0.00042 0.346035 0.295890
0.1234 8.1034 0.086292 0.10181 0.000311 0.00062 0.000000 0.00030 0.344547 0.300390
0.1203 8.3122 0.086059 0.09798 0.000252 0.00050 0.000000 0.00025 0.343732 0.302609
0.1174 8.5211 0.085754 0.08776 0.000198 0.00039 0.000000 0.00019 0.342620 0.305870
0.1145 8.7300 0.085486 0.08453 0.000156 0.00032 0.000000 0.00017 0.341631 0.308818
0.1119 8.9388 0.085216 0.07453 0.000127 0.00025 0.000000 0.00013 0.340607 0.311837
0.1093 9.1477 0.085041 0.07205 0.000113 0.00023 0.000000 0.00012 0.339940 0.313808
0.1069 9.3565 0.084881 0.06913 0.000086 0.00017 0.000000 0.00009 0.339353 0.315471
0.1045 9.5654 0.084775 0.06714 0.000072 0.00014 0.000000 0.00007 0.338957 0.316618
0.1023 9.7743 0.084589 0.06050 0.000057 0.00011 0.000000 0.00005 0.338242 0.318770
0.1002 9.9831 0.084456 0.05420 0.000046 0.00009 0.000000 0.00004 0.337733 0.320268
0.0981 10.1920 0.084363 0.05443 0.000039 0.00008 0.000000 0.00004 0.337373 0.321301
0.0961 10.4008 0.084256 0.05134 0.000033 0.00007 0.000000 0.00004 0.336959 0.322547
0.0943 10.6097 0.084152 0.04645 0.000024 0.00005 0.000000 0.00003 0.336559 0.323726
0.0924 10.8186 0.084073 0.04431 0.000020 0.00004 0.000000 0.00002 0.336252 0.324629
0.0907 11.0274 0.084097 0.04986 0.000017 0.00003 0.000000 0.00002 0.336354 0.324147
0.0890 11.2363 0.083937 0.03821 0.000012 0.00002 0.000000 0.00001 0.335726 0.326195
0.0874 11.4451 0.083875 0.03594 0.000011 0.00002 0.000000 0.00001 0.335480 0.326920
0.0858 11.6540 0.083824 0.03356 0.000007 0.00001 0.000000 0.00001 0.335283 0.327510
0.0843 11.8629 0.083768 0.03109 0.000006 0.00001 0.000000 0.00001 0.335061 0.328172
0.0828 12.0717 0.083732 0.03005 0.000005 0.00001 0.000000 0.00001 0.334919 0.328593
0.0814 12.2806 0.083684 0.02646 0.000004 0.00001 0.000000 0.00000 0.334729 0.329160
0.0801 12.4895 0.083654 0.02464 0.000005 0.00001 0.000000 0.00001 0.334606 0.329527
0.0788 12.6983 0.083624 0.02366 0.000003 0.00001 0.000000 0.00000 0.334492 0.329867
0.0775 12.9072 0.083593 0.02137 0.000003 0.00001 0.000000 0.00000 0.334368 0.330237
0.0762 13.1160 0.083564 0.01966 0.000002 0.00000 0.000000 0.00000 0.334254 0.330578
0.0750 13.3249 0.083545 0.01849 0.000002 0.00000 0.000000 0.00000 0.334174 0.330815
0.0739 13.5338 0.083522 0.01668 0.000003 0.00001 0.000000 0.00000 0.334083 0.331086
0.0728 13.7426 0.083510 0.01832 0.000001 0.00000 0.000000 0.00000 0.334038 0.331224
0.0717 13.9515 0.083485 0.01484 0.000001 0.00000 0.000000 0.00000 0.333939 0.331518
0.0706 14.1603 0.083475 0.01368 0.000001 0.00000 0.000000 0.00000 0.333899 0.331642
0.0696 14.3692 0.083465 0.01312 0.000000 0.00000 0.000000 0.00000 0.333859 0.331758
0.0686 14.5781 0.083441 0.01178 0.000001 0.00000 0.000000 0.00000 0.333763 0.332045
0.0676 14.7869 0.083442 0.01145 0.000000 0.00000 0.000000 0.00000 0.333767 0.332035
0.0667 14.9958 0.083425 0.01006 0.000000 0.00000 0.000000 0.00000 0.333701 0.332232
0.0658 15.2046 0.083418 0.00944 0.000000 0.00000 0.000000 0.00000 0.333670 0.332323
0.0649 15.4135 0.083408 0.00872 0.000000 0.00000 0.000000 0.00000 0.333630 0.332445
0.0640 15.6224 0.083398 0.00789 0.000000 0.00000 0.000000 0.00000 0.333591 0.332561
0.0632 15.8312 0.083390 0.00694 0.000000 0.00000 0.000000 0.00000 0.333560 0.332655
0.0623 16.0401 0.083391 0.00759 0.000000 0.00000 0.000000 0.00000 0.333563 0.332646
0.0615 16.2489 0.083381 0.00620 0.000000 0.00000 0.000000 0.00000 0.333524 0.332761
0.0608 16.4578 0.083375 0.00571 0.000000 0.00000 0.000000 0.00000 0.333500 0.332833
0.0600 16.6667 0.083375 0.00580 0.000000 0.00000 0.000000 0.00000 0.333499 0.332837
