# annealed L=24 N_site=1728 N_tri=3456 N_bond=5184 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.118020 0.09168 0.388947 0.31386 0.113226 0.08440 0.429887 0.170488
2.6629 0.3755 0.721496 0.14395 0.372319 0.31050 0.026910 0.08222 0.463633 0.158913
1.7112 0.5844 0.587817 0.14113 0.354499 0.30374 0.005605 0.09036 0.469970 0.147280
1.2606 0.7932 0.518994 0.17701 0.334930 0.29346 0.001074 0.10054 0.470137 0.135676
0.9979 1.0021 0.462615 0.26646 0.311860 0.28397 0.000190 0.12154 0.469643 0.123483
0.8258 1.2110 0.406439 0.38030 0.283521 0.27734 0.000034 0.14007 0.469190 0.111030
0.7043 1.4198 0.349698 0.53739 0.250165 0.27921 0.000005 0.17201 0.467894 0.099490
0.6140 1.6287 0.296639 0.62801 0.213416 0.27540 0.000001 0.18061 0.466082 0.089954
0.5442 1.8376 0.250493 0.68460 0.176438 0.25616 0.000000 0.17652 0.462780 0.083842
0.4887 2.0464 0.213307 0.64101 0.142218 0.22444 0.000000 0.14901 0.457636 0.082945
0.4434 2.2553 0.185910 0.53312 0.113623 0.19454 0.000000 0.12055 0.451673 0.085156
0.4058 2.4641 0.166958 0.47990 0.091405 0.16534 0.000000 0.09834 0.445071 0.090673
0.3741 2.6730 0.152492 0.42324 0.072921 0.13377 0.000000 0.07721 0.440128 0.093853
0.3470 2.8819 0.142500 0.37795 0.058903 0.11064 0.000000 0.06125 0.436653 0.094997
0.3235 3.0907 0.133244 0.35632 0.047241 0.09083 0.000000 0.04997 0.428918 0.107269
0.3031 3.2996 0.126003 0.31988 0.038040 0.07177 0.000000 0.03867 0.421855 0.119248
0.2850 3.5084 0.120372 0.30982 0.030658 0.06094 0.000000 0.03224 0.416225 0.128561
0.2690 3.7173 0.115869 0.28601 0.024796 0.04674 0.000000 0.02455 0.411320 0.136961
0.2547 3.9262 0.111713 0.27364 0.019993 0.03974 0.000000 0.02082 0.405227 0.149411
0.2418 4.1350 0.108390 0.24286 0.016199 0.03160 0.000000 0.01606 0.400072 0.159802
0.2302 4.3439 0.105405 0.24562 0.013104 0.02575 0.000000 0.01341 0.394714 0.171714
0.2196 4.5527 0.102737 0.23786 0.010656 0.02125 0.000000 0.01113 0.389162 0.184414
0.2100 4.7616 0.100552 0.22211 0.008586 0.01691 0.000000 0.00862 0.384737 0.194627
0.2012 4.9705 0.098685 0.21995 0.007025 0.01408 0.000000 0.00712 0.380496 0.204655
