# annealed L=24 N_site=1728 N_tri=3456 N_bond=5184 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri
6.0000 0.1667 0.994074 0.09393 0.388972 0.31859 0.109474 0.07453
4.0286 0.2482 0.778765 0.12524 0.382609 0.31222 0.062347 0.06965
3.0323 0.3298 0.646306 0.13475 0.375953 0.31063 0.034679 0.07417
2.4310 0.4113 0.563116 0.13884 0.369418 0.30395 0.018909 0.07699
2.0288 0.4929 0.507828 0.13585 0.362501 0.30491 0.010058 0.08680
1.7407 0.5745 0.468732 0.13728 0.355422 0.30234 0.005235 0.08993
1.5243 0.6560 0.438650 0.14161 0.348279 0.29965 0.002702 0.09179
1.3558 0.7376 0.413369 0.15739 0.340476 0.30012 0.001397 0.09662
1.2208 0.8191 0.390383 0.18318 0.332378 0.29062 0.000708 0.10542
1.1102 0.9007 0.368614 0.21696 0.323684 0.28682 0.000352 0.11271
1.0181 0.9823 0.346876 0.25193 0.314109 0.28853 0.000176 0.11705
0.9400 1.0638 0.325303 0.30385 0.303993 0.28733 0.000087 0.13621
0.8731 1.1454 0.303553 0.35048 0.292785 0.28491 0.000044 0.14211
0.8150 1.2270 0.281431 0.39939 0.280922 0.28384 0.000020 0.15074
0.7642 1.3085 0.259513 0.45063 0.268127 0.27788 0.000011 0.15576
0.7194 1.3901 0.237690 0.49414 0.255029 0.28006 0.000004 0.16557
0.6795 1.4716 0.216790 0.55121 0.240990 0.28087 0.000002 0.17299
0.6438 1.5532 0.196263 0.61155 0.226570 0.27914 0.000001 0.18431
0.6117 1.6348 0.176517 0.61736 0.211737 0.27250 0.000000 0.18240
0.5826 1.7163 0.158741 0.61517 0.197466 0.25626 0.000000 0.17015
0.5562 1.7979 0.141841 0.61081 0.183048 0.25277 0.000000 0.16700
0.5321 1.8794 0.126242 0.60000 0.169208 0.24715 0.000000 0.16269
0.5099 1.9610 0.112577 0.61586 0.155883 0.23869 0.000000 0.15949
0.4896 2.0426 0.100283 0.58516 0.143514 0.22324 0.000000 0.14668
0.4708 2.1241 0.089211 0.55408 0.131755 0.21154 0.000000 0.13587
0.4534 2.2057 0.080767 0.52257 0.121523 0.19917 0.000000 0.12490
0.4372 2.2872 0.070915 0.48531 0.110571 0.18432 0.000000 0.11400
0.4222 2.3688 0.063426 0.46391 0.101350 0.17250 0.000000 0.10506
0.4081 2.4504 0.057557 0.43784 0.093363 0.16180 0.000000 0.09699
0.3950 2.5319 0.051444 0.42572 0.085416 0.15519 0.000000 0.09209
0.3826 2.6135 0.047461 0.43400 0.079130 0.14516 0.000000 0.08723
0.3711 2.6950 0.042168 0.36656 0.071983 0.12963 0.000000 0.07427
0.3602 2.7766 0.037820 0.35421 0.065755 0.12272 0.000000 0.06979
0.3499 2.8582 0.034098 0.32538 0.060226 0.11083 0.000000 0.06229
0.3402 2.9397 0.031194 0.32378 0.055493 0.10542 0.000000 0.05919
0.3310 3.0213 0.028302 0.29851 0.050915 0.09581 0.000000 0.05296
0.3223 3.1028 0.025718 0.27800 0.046730 0.08835 0.000000 0.04802
0.3140 3.1844 0.023795 0.28699 0.043278 0.08335 0.000000 0.04612
0.3062 3.2660 0.021480 0.25650 0.039623 0.07592 0.000000 0.04099
0.2987 3.3475 0.019561 0.24256 0.036319 0.06966 0.000000 0.03735
0.2916 3.4291 0.017818 0.22746 0.033277 0.06348 0.000000 0.03378
0.2848 3.5106 0.016471 0.22225 0.030823 0.05873 0.000000 0.03135
0.2784 3.5922 0.014965 0.20745 0.028254 0.05399 0.000000 0.02859
0.2722 3.6738 0.013643 0.19427 0.025909 0.04883 0.000000 0.02580
0.2663 3.7553 0.012550 0.18993 0.023931 0.04644 0.000000 0.02442
0.2606 3.8369 0.011492 0.17546 0.021998 0.04197 0.000000 0.02186
0.2552 3.9184 0.010602 0.16558 0.020336 0.03802 0.000000 0.01981
0.2500 4.0000 0.009704 0.16454 0.018707 0.03674 0.000000 0.01909
