# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
1.0000 1.0000 0.575723 0.26806 0.312266 0.28944 0.000248 0.11937 0.439586 0.124998 0.001762 -0.00815
0.9375 1.0667 0.557553 0.30871 0.303536 0.28159 0.000138 0.12753 0.439015 0.121328 0.001834 0.00261
0.8824 1.1333 0.539660 0.34373 0.294987 0.27678 0.000085 0.13054 0.438551 0.118312 0.001921 -0.01150
0.8333 1.2000 0.520904 0.40400 0.285270 0.28629 0.000046 0.14774 0.438151 0.114851 0.001996 -0.02117
0.7895 1.2667 0.502338 0.46029 0.275591 0.28085 0.000027 0.15251 0.437921 0.112112 0.002184 -0.03150
0.7500 1.3333 0.484033 0.51449 0.265199 0.27867 0.000015 0.16314 0.437275 0.109640 0.002499 -0.06364
0.7143 1.4000 0.464709 0.56606 0.254220 0.28237 0.000010 0.17269 0.436340 0.107582 0.002823 -0.02981
0.6818 1.4667 0.445813 0.65278 0.243020 0.27838 0.000004 0.18375 0.435301 0.106685 0.003947 -0.07396
0.6522 1.5333 0.427041 0.67591 0.231170 0.27931 0.000004 0.18435 0.433980 0.105692 0.005473 -0.03087
0.6250 1.6000 0.408121 0.69257 0.218869 0.27354 0.000001 0.17907 0.432473 0.105949 0.007143 -0.16887
0.6000 1.6667 0.388050 0.80249 0.205952 0.27329 0.000001 0.19223 0.429536 0.109155 0.016538 -0.00970
0.5769 1.7333 0.369643 0.92544 0.193238 0.27356 0.000000 0.20253 0.426561 0.112646 0.026999 -0.01990
0.5556 1.8000 0.351186 0.95461 0.180257 0.26288 0.000000 0.19873 0.422640 0.118833 0.043658 0.14586
0.5357 1.8667 0.337066 0.89920 0.169277 0.26050 0.000000 0.18743 0.419688 0.122654 0.052963 0.23422
0.5172 1.9333 0.315366 0.73493 0.155864 0.24065 0.000000 0.16020 0.410138 0.142661 0.128273 0.43829
0.5000 2.0000 0.306616 0.82128 0.146530 0.23070 0.000000 0.15917 0.409510 0.141912 0.110719 0.31860
0.4839 2.0667 0.292693 0.69760 0.136048 0.21989 0.000000 0.14246 0.402661 0.156754 0.178578 0.45319
0.4688 2.1333 0.282348 0.67463 0.126758 0.21475 0.000000 0.13644 0.398686 0.164829 0.209753 0.46388
0.4545 2.2000 0.273481 0.61942 0.118294 0.19693 0.000000 0.12348 0.395240 0.172022 0.236214 0.47129
0.4412 2.2667 0.265357 0.58440 0.110650 0.18580 0.000000 0.11277 0.391576 0.180044 0.266370 0.47647
0.4286 2.3333 0.257844 0.57707 0.103170 0.17591 0.000000 0.10661 0.387920 0.188261 0.299595 0.47931
0.4167 2.4000 0.250409 0.52891 0.095955 0.16321 0.000000 0.09639 0.384054 0.197400 0.335878 0.48400
0.4054 2.4667 0.245045 0.52266 0.089943 0.16180 0.000000 0.09300 0.382125 0.201450 0.352245 0.48380
0.3947 2.5333 0.239779 0.52565 0.084264 0.15122 0.000000 0.08744 0.379641 0.207533 0.376695 0.48442
0.3846 2.6000 0.234536 0.51503 0.078577 0.14365 0.000000 0.08266 0.376978 0.213758 0.402703 0.48614
0.3750 2.6667 0.229297 0.47387 0.072959 0.12983 0.000000 0.07400 0.374096 0.220999 0.432852 0.48837
0.3659 2.7333 0.224584 0.45977 0.067964 0.12761 0.000000 0.07087 0.371303 0.228190 0.463115 0.48975
0.3571 2.8000 0.220734 0.45683 0.063686 0.11681 0.000000 0.06585 0.369116 0.233463 0.485983 0.48995
0.3488 2.8667 0.217098 0.44045 0.059533 0.10926 0.000000 0.06077 0.367064 0.238796 0.509957 0.49075
0.3409 2.9333 0.213723 0.43010 0.055406 0.10358 0.000000 0.05758 0.365518 0.242792 0.528095 0.49154
0.3333 3.0000 0.210118 0.40795 0.051590 0.09952 0.000000 0.05436 0.363045 0.249200 0.557074 0.49280
0.3261 3.0667 0.207438 0.39305 0.048382 0.08995 0.000000 0.04872 0.361567 0.253272 0.576235 0.49292
0.3191 3.1333 0.204675 0.40648 0.045347 0.08614 0.000000 0.04810 0.359740 0.258151 0.598941 0.49339
0.3125 3.2000 0.202106 0.38075 0.042041 0.08069 0.000000 0.04374 0.358433 0.261494 0.614896 0.49386
0.3061 3.2667 0.199643 0.35751 0.039290 0.07281 0.000000 0.03905 0.356805 0.266099 0.637213 0.49429
0.3000 3.3333 0.197669 0.36608 0.036806 0.07158 0.000000 0.03890 0.355746 0.268868 0.650760 0.49460
