# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.118116 0.09246 0.389101 0.32017 0.113278 0.08588 0.429913 0.170585
2.6629 0.3755 0.721345 0.14243 0.372148 0.30589 0.026911 0.08321 0.463666 0.158864
1.7112 0.5844 0.587517 0.14010 0.354604 0.29874 0.005553 0.08649 0.470056 0.147454
1.2606 0.7932 0.518920 0.17725 0.334852 0.28856 0.001064 0.09975 0.470244 0.135583
0.9979 1.0021 0.462450 0.26539 0.311773 0.28494 0.000196 0.12358 0.469639 0.123506
0.8258 1.2110 0.406712 0.39022 0.283622 0.27901 0.000031 0.14520 0.469071 0.110931
0.7043 1.4198 0.349772 0.54601 0.250123 0.28057 0.000005 0.17358 0.468038 0.099476
0.6140 1.6287 0.296583 0.61750 0.213571 0.27581 0.000000 0.18027 0.465869 0.090198
0.5442 1.8376 0.249805 0.64462 0.175825 0.25489 0.000000 0.16833 0.462514 0.084374
0.4887 2.0464 0.211993 0.62269 0.141565 0.22619 0.000000 0.14850 0.456785 0.084505
0.4434 2.2553 0.185875 0.54583 0.113563 0.18995 0.000000 0.11948 0.451504 0.085279
0.4058 2.4641 0.166413 0.46413 0.090743 0.16209 0.000000 0.09607 0.445474 0.090114
0.3741 2.6730 0.152764 0.40868 0.072985 0.12903 0.000000 0.07373 0.440814 0.092140
0.3470 2.8819 0.141839 0.38362 0.058666 0.10860 0.000000 0.06139 0.434789 0.099405
0.3235 3.0907 0.133127 0.36408 0.047220 0.09023 0.000000 0.05013 0.428367 0.108329
0.3031 3.2996 0.125948 0.33397 0.038140 0.07214 0.000000 0.03957 0.421309 0.120627
0.2850 3.5084 0.120331 0.30704 0.030849 0.06082 0.000000 0.03231 0.415584 0.130572
0.2690 3.7173 0.115284 0.28882 0.024758 0.04945 0.000000 0.02591 0.409104 0.142965
0.2547 3.9262 0.111704 0.27163 0.020069 0.03927 0.000000 0.02072 0.405059 0.150215
0.2418 4.1350 0.108415 0.25975 0.016236 0.03143 0.000000 0.01618 0.400120 0.159873
0.2302 4.3439 0.105473 0.23760 0.013173 0.02568 0.000000 0.01305 0.394821 0.171221
0.2196 4.5527 0.103052 0.24154 0.010695 0.02097 0.000000 0.01073 0.390347 0.180862
0.2100 4.7616 0.100801 0.22436 0.008733 0.01738 0.000000 0.00860 0.385429 0.192501
0.2012 4.9705 0.098947 0.21788 0.006936 0.01379 0.000000 0.00698 0.381720 0.201227
0.1931 5.1793 0.097064 0.22838 0.005690 0.01130 0.000000 0.00586 0.376754 0.214029
0.1856 5.3882 0.095302 0.18210 0.004508 0.00894 0.000000 0.00450 0.372109 0.225819
