# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.116405 0.08995 0.389316 0.31832 0.112859 0.07953 0.429983 0.170629
2.6629 0.3755 0.721763 0.14164 0.372500 0.31176 0.026946 0.08635 0.463885 0.159053
1.7112 0.5844 0.587526 0.13957 0.354826 0.29835 0.005577 0.08459 0.469694 0.147598
1.2606 0.7932 0.518997 0.17374 0.334999 0.29533 0.001063 0.09993 0.470117 0.135683
0.9979 1.0021 0.462479 0.26559 0.311561 0.29149 0.000186 0.12252 0.469645 0.123520
0.8258 1.2110 0.406666 0.39145 0.283698 0.27944 0.000029 0.14646 0.468934 0.111291
0.7043 1.4198 0.349306 0.53423 0.249866 0.27725 0.000006 0.17004 0.468000 0.099494
0.6140 1.6287 0.296194 0.65783 0.213265 0.27014 0.000000 0.18153 0.465933 0.089507
0.5442 1.8376 0.249189 0.70132 0.175825 0.25230 0.000000 0.17580 0.462097 0.085400
0.4887 2.0464 0.210505 0.59728 0.140728 0.22377 0.000000 0.14575 0.455651 0.086112
0.4434 2.2553 0.184997 0.53359 0.113178 0.19837 0.000000 0.12291 0.450840 0.086815
0.4058 2.4641 0.167671 0.49842 0.091635 0.16251 0.000000 0.09873 0.446116 0.087956
0.3741 2.6730 0.152329 0.40984 0.072494 0.13176 0.000000 0.07509 0.440799 0.092062
0.3470 2.8819 0.141557 0.37120 0.058602 0.10866 0.000000 0.06048 0.434066 0.101162
0.3235 3.0907 0.133258 0.34667 0.047106 0.08945 0.000000 0.04894 0.429161 0.106713
0.3031 3.2996 0.126070 0.32242 0.038091 0.07367 0.000000 0.03938 0.421977 0.118858
0.2850 3.5084 0.120246 0.29614 0.030707 0.06005 0.000000 0.03126 0.415572 0.130257
0.2690 3.7173 0.116331 0.29396 0.024906 0.04887 0.000000 0.02538 0.412902 0.133093
0.2547 3.9262 0.112500 0.30466 0.020218 0.03872 0.000000 0.02025 0.407920 0.142088
0.2418 4.1350 0.108034 0.25242 0.016188 0.03184 0.000000 0.01666 0.398687 0.163385
0.2302 4.3439 0.105170 0.24888 0.013102 0.02528 0.000000 0.01297 0.393781 0.174702
0.2196 4.5527 0.102926 0.22560 0.010692 0.02102 0.000000 0.01072 0.389839 0.183127
0.2100 4.7616 0.100597 0.21774 0.008593 0.01674 0.000000 0.00866 0.384890 0.194374
0.2012 4.9705 0.098895 0.20485 0.007048 0.01385 0.000000 0.00714 0.381289 0.202640
0.1931 5.1793 0.096996 0.20344 0.005653 0.01123 0.000000 0.00556 0.376545 0.214141
0.1856 5.3882 0.095464 0.18711 0.004518 0.00897 0.000000 0.00446 0.372745 0.224237
0.1787 5.5970 0.094245 0.18752 0.003700 0.00761 0.000000 0.00383 0.369519 0.231856
