# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri
6.0000 0.1667 0.993923 0.09440 0.388680 0.31867 0.109399 0.07096
4.0286 0.2482 0.778753 0.12285 0.382789 0.30891 0.062315 0.06944
3.0323 0.3298 0.646507 0.13710 0.376261 0.31567 0.034735 0.08273
2.4310 0.4113 0.562522 0.14043 0.369347 0.30309 0.018795 0.08938
2.0288 0.4929 0.507856 0.13470 0.362536 0.30156 0.010082 0.08260
1.7407 0.5745 0.468972 0.13660 0.355343 0.29594 0.005322 0.08443
1.5243 0.6560 0.438934 0.14220 0.348236 0.30015 0.002761 0.09147
1.3558 0.7376 0.413475 0.15922 0.340574 0.29645 0.001384 0.09825
1.2208 0.8191 0.390662 0.18444 0.332212 0.28781 0.000726 0.10191
1.1102 0.9007 0.368180 0.21657 0.323451 0.28940 0.000362 0.11232
1.0181 0.9823 0.347027 0.25068 0.314121 0.28257 0.000178 0.11604
0.9400 1.0638 0.325310 0.30339 0.303954 0.29218 0.000078 0.13361
0.8731 1.1454 0.303277 0.34983 0.292865 0.28310 0.000037 0.13908
0.8150 1.2270 0.281479 0.40610 0.281030 0.27873 0.000024 0.14766
0.7642 1.3085 0.259654 0.45503 0.268482 0.28494 0.000009 0.16019
0.7194 1.3901 0.238398 0.51545 0.255287 0.27742 0.000006 0.16830
0.6795 1.4716 0.217718 0.56901 0.241708 0.28190 0.000004 0.17858
0.6438 1.5532 0.195978 0.59076 0.226486 0.27030 0.000001 0.17663
0.6117 1.6348 0.177041 0.62064 0.212228 0.26831 0.000001 0.17848
0.5826 1.7163 0.158644 0.66778 0.197301 0.27216 0.000000 0.18685
0.5562 1.7979 0.142126 0.63966 0.183365 0.25544 0.000000 0.17179
0.5321 1.8794 0.126509 0.62148 0.169247 0.25004 0.000000 0.16556
0.5099 1.9610 0.111949 0.60963 0.155622 0.23259 0.000000 0.15547
0.4896 2.0426 0.100165 0.57653 0.143303 0.22241 0.000000 0.14540
0.4708 2.1241 0.088174 0.56224 0.130838 0.21144 0.000000 0.13642
0.4534 2.2057 0.078719 0.53608 0.120413 0.20286 0.000000 0.12926
0.4372 2.2872 0.069981 0.49574 0.109844 0.18842 0.000000 0.11675
0.4222 2.3688 0.063861 0.48340 0.101572 0.17573 0.000000 0.10865
0.4081 2.4504 0.057352 0.44884 0.093257 0.16151 0.000000 0.09816
0.3950 2.5319 0.051087 0.41533 0.085076 0.15216 0.000000 0.08996
0.3826 2.6135 0.048316 0.45972 0.079875 0.14731 0.000000 0.09000
0.3711 2.6950 0.041607 0.36183 0.071697 0.13099 0.000000 0.07461
0.3602 2.7766 0.037419 0.33953 0.065393 0.11920 0.000000 0.06738
0.3499 2.8582 0.033962 0.32578 0.060043 0.11151 0.000000 0.06242
0.3402 2.9397 0.030782 0.31395 0.055052 0.10548 0.000000 0.05841
0.3310 3.0213 0.028170 0.29655 0.050782 0.09562 0.000000 0.05284
0.3223 3.1028 0.025572 0.28166 0.046552 0.08895 0.000000 0.04862
0.3140 3.1844 0.023496 0.26484 0.043061 0.08145 0.000000 0.04411
0.3062 3.2660 0.021484 0.25425 0.039685 0.07541 0.000000 0.04070
0.2987 3.3475 0.019477 0.24562 0.036138 0.06974 0.000000 0.03765
0.2916 3.4291 0.017855 0.23181 0.033381 0.06500 0.000000 0.03461
0.2848 3.5106 0.016348 0.21268 0.030745 0.05818 0.000000 0.03069
0.2784 3.5922 0.014997 0.20808 0.028336 0.05457 0.000000 0.02880
0.2722 3.6738 0.013779 0.20092 0.026126 0.05078 0.000000 0.02675
0.2663 3.7553 0.012577 0.18760 0.023981 0.04642 0.000000 0.02426
0.2606 3.8369 0.011471 0.17798 0.021942 0.04262 0.000000 0.02219
0.2552 3.9184 0.010519 0.17556 0.020196 0.04062 0.000000 0.02111
0.2500 4.0000 0.009615 0.15879 0.018510 0.03544 0.000000 0.01839
