# annealed L=8 N_site=192 N_tri=384 N_bond=576 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.233989 0.09017 0.388912 0.31681 0.116810 0.07200 0.414403 0.170355
2.6629 0.3755 0.840868 0.14443 0.372626 0.30854 0.029550 0.08362 0.438996 0.158921
1.7112 0.5844 0.702290 0.14504 0.354413 0.30342 0.006517 0.08956 0.442023 0.147607
1.2606 0.7932 0.631658 0.17999 0.334620 0.29359 0.001256 0.10145 0.440839 0.135947
0.9979 1.0021 0.575466 0.26391 0.311730 0.28276 0.000247 0.11486 0.439296 0.124987
0.8258 1.2110 0.517902 0.40528 0.283797 0.27818 0.000044 0.14173 0.437943 0.114524
0.7043 1.4198 0.458095 0.58848 0.250673 0.27666 0.000007 0.17133 0.435810 0.107278
0.6140 1.6287 0.397174 0.78928 0.213455 0.28200 0.000000 0.19704 0.429917 0.109959
0.5442 1.8376 0.336509 0.77666 0.172770 0.25637 0.000000 0.17692 0.416211 0.131952
0.4887 2.0464 0.294680 0.66830 0.138716 0.22522 0.000000 0.14319 0.402235 0.157456
0.4434 2.2553 0.265599 0.57314 0.111573 0.19079 0.000000 0.11468 0.390914 0.181854
0.4058 2.4641 0.244557 0.52662 0.089778 0.15662 0.000000 0.09095 0.381615 0.202892
0.3741 2.6730 0.228390 0.47864 0.072709 0.13312 0.000000 0.07571 0.372545 0.225162
0.3470 2.8819 0.215902 0.43017 0.058456 0.10822 0.000000 0.05957 0.366119 0.241590
0.3235 3.0907 0.207013 0.40862 0.047326 0.09076 0.000000 0.04907 0.362064 0.251260
0.3031 3.2996 0.199093 0.37165 0.038478 0.07499 0.000000 0.04023 0.356643 0.266165
0.2850 3.5084 0.192331 0.33067 0.030534 0.05773 0.000000 0.03104 0.352241 0.278707
0.2690 3.7173 0.187317 0.29449 0.024631 0.04842 0.000000 0.02514 0.348750 0.288433
0.2547 3.9262 0.183128 0.26412 0.020071 0.03932 0.000000 0.02066 0.345355 0.298192
0.2418 4.1350 0.180143 0.23324 0.016279 0.03111 0.000000 0.01614 0.343478 0.303649
0.2302 4.3439 0.177604 0.20630 0.013215 0.02579 0.000000 0.01329 0.341631 0.308883
0.2196 4.5527 0.175506 0.18192 0.010637 0.02072 0.000000 0.01058 0.340144 0.313267
0.2100 4.7616 0.173975 0.16312 0.008732 0.01658 0.000000 0.00848 0.339047 0.316401
0.2012 4.9705 0.172515 0.14878 0.007160 0.01431 0.000000 0.00733 0.337765 0.320183
0.1931 5.1793 0.171367 0.12730 0.005624 0.01128 0.000000 0.00570 0.337042 0.322297
0.1856 5.3882 0.170464 0.11120 0.004530 0.00877 0.000000 0.00447 0.336357 0.324318
0.1787 5.5970 0.169773 0.09528 0.003714 0.00744 0.000000 0.00370 0.335805 0.325946
0.1722 5.8059 0.169190 0.08976 0.003029 0.00617 0.000000 0.00317 0.335331 0.327378
0.1663 6.0148 0.168670 0.07249 0.002489 0.00493 0.000000 0.00249 0.334838 0.328827
0.1607 6.2236 0.168247 0.06108 0.001965 0.00387 0.000000 0.00195 0.334521 0.329770
0.1555 6.4325 0.167957 0.05234 0.001602 0.00317 0.000000 0.00159 0.334308 0.330421
0.1506 6.6414 0.167804 0.05113 0.001322 0.00262 0.000000 0.00133 0.334284 0.330486
0.1460 6.8502 0.167580 0.04365 0.001069 0.00211 0.000000 0.00107 0.334087 0.331082
0.1417 7.0591 0.167398 0.03548 0.000905 0.00181 0.000000 0.00089 0.333890 0.331666
0.1376 7.2679 0.167202 0.02850 0.000695 0.00140 0.000000 0.00070 0.333707 0.332212
0.1337 7.4768 0.167167 0.02732 0.000560 0.00110 0.000000 0.00055 0.333773 0.332015
0.1301 7.6857 0.167035 0.02182 0.000428 0.00085 0.000000 0.00043 0.333642 0.332409
0.1267 7.8945 0.166975 0.01938 0.000343 0.00068 0.000000 0.00034 0.333607 0.332511
0.1234 8.1034 0.166913 0.01590 0.000268 0.00053 0.000000 0.00027 0.333557 0.332664
0.1203 8.3122 0.166873 0.01419 0.000224 0.00045 0.000000 0.00023 0.333521 0.332771
0.1174 8.5211 0.166839 0.01276 0.000209 0.00041 0.000000 0.00021 0.333468 0.332931
