# annealed L=8 N_site=192 N_tri=384 N_bond=576 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
1.0000 1.0000 0.576172 0.26605 0.311960 0.28525 0.000246 0.12124 0.439346 0.124729 0.007169 -0.01404
0.9375 1.0667 0.557409 0.31819 0.303135 0.28489 0.000137 0.13230 0.438860 0.120978 0.007181 -0.04999
0.8824 1.1333 0.540185 0.35347 0.295361 0.27986 0.000081 0.13263 0.438783 0.118150 0.007522 -0.05116
0.8333 1.2000 0.521517 0.40019 0.285429 0.28226 0.000041 0.14629 0.438334 0.114738 0.008012 -0.08764
0.7895 1.2667 0.501279 0.44914 0.275111 0.27940 0.000022 0.15168 0.437420 0.112261 0.008980 -0.15165
0.7500 1.3333 0.483144 0.52355 0.265099 0.28341 0.000019 0.16541 0.437290 0.109873 0.010436 -0.18515
0.7143 1.4000 0.465454 0.56631 0.255128 0.27432 0.000008 0.16299 0.436814 0.107642 0.011728 -0.26803
0.6818 1.4667 0.444515 0.63240 0.242653 0.27220 0.000009 0.17339 0.435007 0.106800 0.015160 -0.27444
0.6522 1.5333 0.422934 0.71112 0.229886 0.27486 0.000002 0.18809 0.432856 0.107862 0.022439 -0.17441
0.6250 1.6000 0.405897 0.75658 0.217979 0.27146 0.000003 0.18789 0.431889 0.107421 0.026406 -0.17933
0.6000 1.6667 0.383326 0.85811 0.204737 0.27895 0.000002 0.19941 0.427573 0.113460 0.045863 -0.04492
0.5769 1.7333 0.365210 0.90592 0.191669 0.26680 0.000001 0.19711 0.424266 0.117703 0.060795 0.04950
0.5556 1.8000 0.347830 0.86646 0.179702 0.26302 0.000000 0.18722 0.420739 0.123472 0.079278 0.09578
0.5357 1.8667 0.330582 0.85991 0.167214 0.25696 0.000001 0.18224 0.415700 0.131761 0.108191 0.19931
0.5172 1.9333 0.316701 0.75904 0.156906 0.24169 0.000000 0.16472 0.410934 0.140889 0.137003 0.29279
0.5000 2.0000 0.302217 0.68443 0.145183 0.23210 0.000000 0.15024 0.405282 0.152044 0.175294 0.35899
0.4839 2.0667 0.291728 0.68756 0.135986 0.21791 0.000000 0.14154 0.400996 0.160730 0.204186 0.36662
0.4688 2.1333 0.281488 0.64173 0.126927 0.20935 0.000000 0.13175 0.397484 0.168209 0.234083 0.39233
0.4545 2.2000 0.272689 0.58868 0.118539 0.19430 0.000000 0.11848 0.393522 0.175929 0.261411 0.41195
0.4412 2.2667 0.265031 0.58609 0.110726 0.18646 0.000000 0.11361 0.390948 0.182426 0.286863 0.42019
0.4286 2.3333 0.259392 0.57198 0.103896 0.17987 0.000000 0.10705 0.389615 0.183416 0.291303 0.41168
0.4167 2.4000 0.251360 0.52307 0.096902 0.16665 0.000000 0.09677 0.384674 0.195879 0.338563 0.43789
0.4054 2.4667 0.244704 0.54621 0.089622 0.15872 0.000000 0.09305 0.381969 0.202254 0.362691 0.42968
0.3947 2.5333 0.239121 0.51511 0.084051 0.14960 0.000000 0.08705 0.378679 0.209822 0.394030 0.44657
0.3846 2.6000 0.234346 0.49035 0.078026 0.14054 0.000000 0.07998 0.377382 0.213031 0.407910 0.44910
0.3750 2.6667 0.229179 0.48890 0.072937 0.13462 0.000000 0.07697 0.373723 0.221766 0.443570 0.45566
0.3659 2.7333 0.224537 0.46037 0.068461 0.12359 0.000000 0.06938 0.370432 0.229948 0.477228 0.46071
0.3571 2.8000 0.221280 0.46334 0.063641 0.11739 0.000000 0.06552 0.370177 0.230617 0.482096 0.45814
0.3488 2.8667 0.216624 0.43372 0.059502 0.10958 0.000000 0.06078 0.366254 0.241134 0.526739 0.46809
0.3409 2.9333 0.213951 0.43341 0.055765 0.10280 0.000000 0.05795 0.365612 0.242417 0.533185 0.46814
0.3333 3.0000 0.210481 0.41974 0.052061 0.09822 0.000000 0.05429 0.363229 0.249240 0.563613 0.47093
0.3261 3.0667 0.206936 0.40463 0.048048 0.08980 0.000000 0.05035 0.361026 0.254813 0.589362 0.47413
0.3191 3.1333 0.204958 0.40069 0.045306 0.08637 0.000000 0.04692 0.360262 0.256505 0.597700 0.47259
0.3125 3.2000 0.202394 0.37966 0.042424 0.08064 0.000000 0.04367 0.358624 0.260636 0.616965 0.47515
0.3061 3.2667 0.199642 0.36682 0.039277 0.07454 0.000000 0.04045 0.356777 0.265886 0.641679 0.47757
0.3000 3.3333 0.197064 0.34335 0.036998 0.07038 0.000000 0.03764 0.354284 0.272973 0.675460 0.48184
