# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.233887 0.09037 0.388775 0.31138 0.116675 0.07476 0.414816 0.170482
2.6629 0.3755 0.839776 0.14405 0.372242 0.30620 0.029286 0.08687 0.439445 0.158793
1.7112 0.5844 0.702197 0.14514 0.354222 0.30259 0.006439 0.08706 0.442315 0.147230
1.2606 0.7932 0.631433 0.18067 0.334604 0.29493 0.001283 0.10458 0.440773 0.136005
0.9979 1.0021 0.574779 0.26885 0.311409 0.28853 0.000234 0.12136 0.439584 0.124453
0.8258 1.2110 0.518420 0.40604 0.284115 0.28050 0.000041 0.14277 0.438234 0.114421
0.7043 1.4198 0.458913 0.59055 0.250614 0.28105 0.000008 0.17608 0.436356 0.106755
0.6140 1.6287 0.400078 0.74704 0.213664 0.28057 0.000001 0.19426 0.431481 0.106670
0.5442 1.8376 0.338605 0.91660 0.172886 0.26487 0.000000 0.19313 0.418011 0.127854
0.4887 2.0464 0.294752 0.64753 0.138565 0.21813 0.000000 0.13964 0.402771 0.157114
0.4434 2.2553 0.265924 0.57374 0.111884 0.18677 0.000000 0.11394 0.390897 0.181928
0.4058 2.4641 0.245196 0.51368 0.090373 0.15546 0.000000 0.09074 0.381785 0.202327
0.3741 2.6730 0.229372 0.48609 0.072835 0.13062 0.000000 0.07457 0.374400 0.220083
0.3470 2.8819 0.216169 0.42501 0.058655 0.10578 0.000000 0.05824 0.366359 0.240518
0.3235 3.0907 0.206567 0.40503 0.047294 0.08969 0.000000 0.04886 0.361135 0.254212
0.3031 3.2996 0.198662 0.36750 0.038149 0.07479 0.000000 0.04047 0.356145 0.267823
0.2850 3.5084 0.192169 0.32671 0.030717 0.05960 0.000000 0.03165 0.351688 0.280333
0.2690 3.7173 0.187559 0.29410 0.024795 0.04924 0.000000 0.02543 0.349046 0.287431
0.2547 3.9262 0.183508 0.26117 0.020139 0.03970 0.000000 0.02033 0.346047 0.295996
0.2418 4.1350 0.180132 0.23583 0.016261 0.03114 0.000000 0.01616 0.343483 0.303519
0.2302 4.3439 0.177619 0.20665 0.013167 0.02566 0.000000 0.01316 0.341712 0.308633
0.2196 4.5527 0.175477 0.18540 0.010667 0.02167 0.000000 0.01107 0.340059 0.313471
0.2100 4.7616 0.173797 0.15709 0.008657 0.01705 0.000000 0.00849 0.338789 0.317186
0.2012 4.9705 0.172575 0.15070 0.006991 0.01385 0.000000 0.00709 0.338061 0.319199
0.1931 5.1793 0.171374 0.12425 0.005627 0.01099 0.000000 0.00555 0.337059 0.322255
0.1856 5.3882 0.170450 0.10808 0.004530 0.00882 0.000000 0.00441 0.336332 0.324387
0.1787 5.5970 0.169754 0.09732 0.003748 0.00754 0.000000 0.00380 0.335732 0.326168
0.1722 5.8059 0.169153 0.08575 0.002998 0.00599 0.000000 0.00302 0.335288 0.327497
0.1663 6.0148 0.168722 0.07206 0.002432 0.00476 0.000000 0.00240 0.335001 0.328353
0.1607 6.2236 0.168315 0.06297 0.001981 0.00401 0.000000 0.00199 0.334641 0.329427
0.1555 6.4325 0.168020 0.05670 0.001645 0.00328 0.000000 0.00166 0.334389 0.330173
0.1506 6.6414 0.167738 0.04703 0.001301 0.00269 0.000000 0.00133 0.334172 0.330823
0.1460 6.8502 0.167547 0.04178 0.001068 0.00217 0.000000 0.00108 0.334023 0.331269
0.1417 7.0591 0.167379 0.03576 0.000844 0.00170 0.000000 0.00086 0.333911 0.331601
0.1376 7.2679 0.167235 0.02976 0.000694 0.00141 0.000000 0.00069 0.333776 0.332007
0.1337 7.4768 0.167136 0.02535 0.000574 0.00115 0.000000 0.00056 0.333698 0.332240
0.1301 7.6857 0.167035 0.02239 0.000449 0.00091 0.000000 0.00046 0.333620 0.332474
0.1267 7.8945 0.166973 0.01902 0.000377 0.00076 0.000000 0.00038 0.333568 0.332630
0.1234 8.1034 0.166931 0.01713 0.000314 0.00063 0.000000 0.00031 0.333548 0.332690
0.1203 8.3122 0.166872 0.01420 0.000247 0.00049 0.000000 0.00024 0.333496 0.332844
0.1174 8.5211 0.166831 0.01174 0.000192 0.00038 0.000000 0.00019 0.333470 0.332923
0.1145 8.7300 0.166809 0.01073 0.000169 0.00034 0.000000 0.00017 0.333448 0.332989
0.1119 8.9388 0.166774 0.00858 0.000126 0.00025 0.000000 0.00013 0.333421 0.333071
0.1093 9.1477 0.166767 0.00829 0.000113 0.00023 0.000000 0.00011 0.333422 0.333068
0.1069 9.3565 0.166741 0.00668 0.000091 0.00018 0.000000 0.00009 0.333392 0.333158
0.1045 9.5654 0.166730 0.00561 0.000077 0.00015 0.000000 0.00008 0.333383 0.333186
0.1023 9.7743 0.166720 0.00510 0.000062 0.00013 0.000000 0.00006 0.333378 0.333200
0.1002 9.9831 0.166709 0.00434 0.000050 0.00010 0.000000 0.00005 0.333369 0.333227
0.0981 10.1920 0.166693 0.00277 0.000032 0.00006 0.000000 0.00003 0.333354 0.333270
0.0961 10.4008 0.166692 0.00283 0.000035 0.00007 0.000000 0.00004 0.333350 0.333284
0.0943 10.6097 0.166685 0.00212 0.000025 0.00005 0.000000 0.00003 0.333346 0.333297
0.0924 10.8186 0.166681 0.00175 0.000018 0.00004 0.000000 0.00002 0.333345 0.333299
0.0907 11.0274 0.166679 0.00150 0.000015 0.00003 0.000000 0.00002 0.333342 0.333306
0.0890 11.2363 0.166678 0.00147 0.000016 0.00003 0.000000 0.00002 0.333341 0.333310
0.0874 11.4451 0.166676 0.00118 0.000012 0.00002 0.000000 0.00001 0.333340 0.333314
0.0858 11.6540 0.166674 0.00093 0.000007 0.00002 0.000000 0.00001 0.333340 0.333315
0.0843 11.8629 0.166673 0.00084 0.000007 0.00001 0.000000 0.00001 0.333338 0.333318
0.0828 12.0717 0.166673 0.00101 0.000007 0.00002 0.000000 0.00001 0.333339 0.333315
0.0814 12.2806 0.166672 0.00078 0.000005 0.00001 0.000000 0.00001 0.333338 0.333320
0.0801 12.4895 0.166670 0.00045 0.000004 0.00001 0.000000 0.00000 0.333336 0.333326
0.0788 12.6983 0.166670 0.00054 0.000002 0.00000 0.000000 0.00000 0.333338 0.333320
0.0775 12.9072 0.166670 0.00056 0.000003 0.00001 0.000000 0.00000 0.333337 0.333321
0.0762 13.1160 0.166668 0.00031 0.000002 0.00000 0.000000 0.00000 0.333335 0.333329
0.0750 13.3249 0.166669 0.00045 0.000003 0.00001 0.000000 0.00000 0.333336 0.333326
0.0739 13.5338 0.166668 0.00022 0.000002 0.00000 0.000000 0.00000 0.333333 0.333333
0.0728 13.7426 0.166668 0.00028 0.000001 0.00000 0.000000 0.00000 0.333336 0.333326
0.0717 13.9515 0.166667 0.00010 0.000001 0.00000 0.000000 0.00000 0.333334 0.333333
0.0706 14.1603 0.166667 0.00007 0.000001 0.00000 0.000000 0.00000 0.333333 0.333333
0.0696 14.3692 0.166667 0.00003 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0686 14.5781 0.166667 0.00002 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0676 14.7869 0.166667 0.00005 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0667 14.9958 0.166667 0.00001 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0658 15.2046 0.166667 0.00001 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0649 15.4135 0.166667 0.00005 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0640 15.6224 0.166667 0.00006 0.000000 0.00000 0.000000 0.00000 0.333334 0.333332
0.0632 15.8312 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0623 16.0401 0.166667 0.00003 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0615 16.2489 0.166667 0.00003 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0608 16.4578 0.166667 0.00001 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0600 16.6667 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
