# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=0.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=2
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
0.1506 6.6414 0.000638 0.02838 0.001274 0.00256 0.000000 0.00128 0.499835 0.034261
0.1460 6.8502 0.000524 0.02463 0.001046 0.00209 0.000000 0.00105 0.500263 0.033947
0.1417 7.0591 0.000410 0.02097 0.000819 0.00168 0.000000 0.00084 0.499910 0.033893
0.1376 7.2679 0.000358 0.01843 0.000716 0.00139 0.000000 0.00070 0.499438 0.033886
0.1337 7.4768 0.000283 0.01638 0.000565 0.00117 0.000000 0.00059 0.500084 0.033817
0.1301 7.6857 0.000223 0.01307 0.000447 0.00089 0.000000 0.00044 0.499922 0.033444
0.1267 7.8945 0.000183 0.01150 0.000366 0.00074 0.000000 0.00037 0.499857 0.033732
0.1234 8.1034 0.000151 0.00997 0.000301 0.00061 0.000000 0.00030 0.499847 0.033732
0.1203 8.3122 0.000128 0.00878 0.000255 0.00051 0.000000 0.00025 0.500201 0.034323
0.1174 8.5211 0.000100 0.00723 0.000199 0.00040 0.000000 0.00020 0.499923 0.033718
0.1145 8.7300 0.000086 0.00661 0.000173 0.00035 0.000000 0.00017 0.500288 0.033876
0.1119 8.9388 0.000062 0.00502 0.000123 0.00025 0.000000 0.00013 0.499854 0.033600
0.1093 9.1477 0.000048 0.00397 0.000096 0.00019 0.000000 0.00009 0.499878 0.033904
0.1069 9.3565 0.000046 0.00402 0.000092 0.00018 0.000000 0.00009 0.500044 0.034025
0.1045 9.5654 0.000035 0.00318 0.000071 0.00014 0.000000 0.00007 0.500024 0.033547
0.1023 9.7743 0.000028 0.00264 0.000056 0.00011 0.000000 0.00006 0.499752 0.033937
0.1002 9.9831 0.000027 0.00266 0.000054 0.00011 0.000000 0.00005 0.499741 0.033464
0.0981 10.1920 0.000019 0.00200 0.000038 0.00008 0.000000 0.00004 0.499517 0.033780
0.0961 10.4008 0.000014 0.00155 0.000029 0.00006 0.000000 0.00003 0.499849 0.033800
0.0943 10.6097 0.000011 0.00126 0.000022 0.00004 0.000000 0.00002 0.500002 0.033571
0.0924 10.8186 0.000009 0.00102 0.000017 0.00003 0.000000 0.00002 0.500209 0.034006
0.0907 11.0274 0.000009 0.00114 0.000019 0.00004 0.000000 0.00002 0.500272 0.033807
0.0890 11.2363 0.000006 0.00076 0.000012 0.00002 0.000000 0.00001 0.499985 0.033879
0.0874 11.4451 0.000007 0.00087 0.000013 0.00003 0.000000 0.00001 0.500236 0.033714
0.0858 11.6540 0.000004 0.00060 0.000009 0.00002 0.000000 0.00001 0.500189 0.034071
0.0843 11.8629 0.000004 0.00058 0.000008 0.00002 0.000000 0.00001 0.500243 0.033379
0.0828 12.0717 0.000003 0.00038 0.000005 0.00001 0.000000 0.00001 0.499732 0.033736
0.0814 12.2806 0.000002 0.00032 0.000004 0.00001 0.000000 0.00000 0.499656 0.033669
0.0801 12.4895 0.000001 0.00021 0.000003 0.00001 0.000000 0.00000 0.499688 0.033707
0.0788 12.6983 0.000001 0.00023 0.000003 0.00001 0.000000 0.00000 0.499919 0.033527
0.0775 12.9072 0.000002 0.00028 0.000003 0.00001 0.000000 0.00000 0.500023 0.033867
0.0762 13.1160 0.000001 0.00019 0.000002 0.00000 0.000000 0.00000 0.499992 0.033625
0.0750 13.3249 0.000001 0.00014 0.000002 0.00000 0.000000 0.00000 0.499890 0.033845
0.0739 13.5338 0.000001 0.00014 0.000002 0.00000 0.000000 0.00000 0.499833 0.033978
0.0728 13.7426 0.000000 0.00008 0.000001 0.00000 0.000000 0.00000 0.500339 0.033673
0.0717 13.9515 0.000000 0.00006 0.000001 0.00000 0.000000 0.00000 0.499833 0.033751
0.0706 14.1603 0.000001 0.00019 0.000002 0.00000 0.000000 0.00000 0.499955 0.033577
0.0696 14.3692 0.000001 0.00013 0.000001 0.00000 0.000000 0.00000 0.499688 0.034043
0.0686 14.5781 0.000000 0.00005 0.000000 0.00000 0.000000 0.00000 0.500093 0.034288
0.0676 14.7869 0.000000 0.00008 0.000001 0.00000 0.000000 0.00000 0.500085 0.033665
0.0667 14.9958 0.000001 0.00013 0.000001 0.00000 0.000000 0.00000 0.499830 0.034187
0.0658 15.2046 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.500244 0.033549
0.0649 15.4135 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.499900 0.033916
0.0640 15.6224 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.500378 0.033912
0.0632 15.8312 0.000000 0.00006 0.000000 0.00000 0.000000 0.00000 0.499992 0.033577
0.0623 16.0401 0.000000 0.00001 0.000000 0.00000 0.000000 0.00000 0.499952 0.033713
0.0615 16.2489 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.500076 0.033593
0.0608 16.4578 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.500153 0.033614
0.0600 16.6667 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.500021 0.033555
