# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=0.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=2
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 0.994861 0.09424 0.388895 0.31786 0.109657 0.06765 0.444847 0.170367
2.6629 0.3755 0.595082 0.14346 0.372164 0.30409 0.024726 0.08889 0.487811 0.158826
1.7112 0.5844 0.464754 0.13611 0.354744 0.30665 0.004817 0.09074 0.497622 0.147552
1.2606 0.7932 0.397699 0.17249 0.335123 0.29472 0.000859 0.09682 0.499564 0.135587
0.9979 1.0021 0.341459 0.27023 0.311399 0.28623 0.000142 0.12598 0.499871 0.122680
0.8258 1.2110 0.286048 0.38561 0.283338 0.28051 0.000022 0.14652 0.499919 0.109922
0.7043 1.4198 0.229983 0.54111 0.249895 0.27966 0.000003 0.17400 0.500264 0.096947
0.6140 1.6287 0.177922 0.60739 0.212869 0.26276 0.000000 0.17330 0.500016 0.084873
0.5442 1.8376 0.134987 0.61560 0.176806 0.24712 0.000000 0.16379 0.500263 0.074181
0.4887 2.0464 0.100022 0.60694 0.143229 0.22508 0.000000 0.14912 0.499649 0.066372
0.4434 2.2553 0.074080 0.52137 0.114566 0.19499 0.000000 0.12262 0.499933 0.060828
0.4058 2.4641 0.055445 0.44615 0.091125 0.16440 0.000000 0.09905 0.500121 0.055444
0.3741 2.6730 0.042807 0.37796 0.073138 0.13211 0.000000 0.07691 0.500203 0.051041
0.3470 2.8819 0.033270 0.31876 0.058941 0.10856 0.000000 0.06054 0.499895 0.047961
0.3235 3.0907 0.025992 0.28526 0.047249 0.08978 0.000000 0.04933 0.499557 0.045015
0.3031 3.2996 0.020523 0.25143 0.038016 0.07338 0.000000 0.03962 0.500094 0.042936
0.2850 3.5084 0.016465 0.21942 0.030910 0.05859 0.000000 0.03128 0.500441 0.040871
0.2690 3.7173 0.013075 0.18851 0.024883 0.04687 0.000000 0.02464 0.500142 0.039389
0.2547 3.9262 0.010421 0.17205 0.020043 0.03970 0.000000 0.02064 0.499968 0.038025
0.2418 4.1350 0.008307 0.14527 0.016091 0.03081 0.000000 0.01591 0.499817 0.037509
0.2302 4.3439 0.006726 0.13415 0.013099 0.02627 0.000000 0.01349 0.499705 0.036827
0.2196 4.5527 0.005369 0.11180 0.010510 0.02028 0.000000 0.01034 0.499733 0.036131
0.2100 4.7616 0.004338 0.10266 0.008532 0.01721 0.000000 0.00876 0.499794 0.035831
0.2012 4.9705 0.003529 0.08987 0.006955 0.01387 0.000000 0.00705 0.500072 0.035531
0.1931 5.1793 0.002884 0.07893 0.005700 0.01137 0.000000 0.00575 0.499901 0.034923
0.1856 5.3882 0.002317 0.06787 0.004588 0.00911 0.000000 0.00459 0.499992 0.034854
0.1787 5.5970 0.001879 0.05815 0.003732 0.00728 0.000000 0.00366 0.499657 0.034688
0.1722 5.8059 0.001487 0.05087 0.002957 0.00594 0.000000 0.00299 0.499961 0.034566
0.1663 6.0148 0.001241 0.04446 0.002468 0.00483 0.000000 0.00243 0.499703 0.034492
0.1607 6.2236 0.000976 0.03731 0.001945 0.00382 0.000000 0.00192 0.499922 0.034517
0.1555 6.4325 0.000789 0.03296 0.001573 0.00316 0.000000 0.00158 0.499986 0.033801
