# annealed L=24 N_site=1728 N_tri=3456 N_bond=5184 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
1.0000 1.0000 0.575741 0.26527 0.311961 0.28225 0.000249 0.11912 0.439362 0.124877 0.000810 -0.00357
0.9375 1.0667 0.557932 0.30837 0.303712 0.27595 0.000138 0.12099 0.439091 0.121374 0.000822 -0.00043
0.8824 1.1333 0.539518 0.35038 0.294906 0.28288 0.000078 0.13653 0.438685 0.118169 0.000836 -0.00244
0.8333 1.2000 0.521323 0.40546 0.285665 0.28262 0.000049 0.14431 0.438267 0.114950 0.000882 -0.02387
0.7895 1.2667 0.502825 0.43666 0.275703 0.27474 0.000028 0.14790 0.437742 0.112116 0.000953 -0.00918
0.7500 1.3333 0.483991 0.48384 0.265210 0.27604 0.000014 0.15504 0.437278 0.109532 0.001119 -0.00460
0.7143 1.4000 0.464714 0.58381 0.254218 0.27878 0.000008 0.17436 0.436511 0.107456 0.001259 -0.00285
0.6818 1.4667 0.445333 0.61174 0.242603 0.27760 0.000005 0.17714 0.435330 0.106374 0.001721 -0.01536
0.6522 1.5333 0.426756 0.69053 0.231014 0.28200 0.000002 0.18858 0.433925 0.105892 0.002129 0.02483
0.6250 1.6000 0.407366 0.70635 0.218665 0.26836 0.000002 0.18159 0.432203 0.106334 0.003524 -0.01693
0.6000 1.6667 0.389538 0.74654 0.206309 0.26974 0.000001 0.18750 0.430374 0.107166 0.005291 0.06900
0.5769 1.7333 0.370690 0.77748 0.193617 0.26216 0.000000 0.18248 0.426983 0.111528 0.011694 0.09189
0.5556 1.8000 0.353681 0.88301 0.181418 0.26293 0.000000 0.19154 0.423772 0.116018 0.021429 0.17537
0.5357 1.8667 0.332841 0.90140 0.168273 0.25509 0.000000 0.18280 0.416699 0.129780 0.072690 0.38245
0.5172 1.9333 0.316082 0.75033 0.156031 0.23481 0.000000 0.15834 0.410648 0.141532 0.121730 0.46969
0.5000 2.0000 0.303280 0.74442 0.145575 0.22966 0.000000 0.15261 0.406307 0.149707 0.153423 0.47531
0.4839 2.0667 0.292592 0.72317 0.136173 0.22264 0.000000 0.14620 0.402512 0.157119 0.178633 0.47827
0.4688 2.1333 0.282539 0.62872 0.126919 0.20632 0.000000 0.12925 0.398703 0.164830 0.207998 0.48534
0.4545 2.2000 0.273012 0.63912 0.118370 0.19642 0.000000 0.12419 0.394273 0.174339 0.243808 0.48647
0.4412 2.2667 0.265286 0.56884 0.110626 0.18673 0.000000 0.11217 0.391322 0.180477 0.264838 0.48976
0.4286 2.3333 0.257719 0.58500 0.103337 0.17597 0.000000 0.10600 0.387616 0.189074 0.300099 0.48955
0.4167 2.4000 0.250966 0.56123 0.096432 0.17170 0.000000 0.10120 0.384574 0.196051 0.328802 0.49162
0.4054 2.4667 0.244762 0.51511 0.089671 0.16160 0.000000 0.09296 0.381951 0.202057 0.352836 0.49316
0.3947 2.5333 0.239312 0.52628 0.083950 0.14829 0.000000 0.08713 0.379152 0.208684 0.379143 0.49315
0.3846 2.6000 0.234239 0.51665 0.078570 0.14511 0.000000 0.08348 0.376420 0.215200 0.406486 0.49384
0.3750 2.6667 0.229597 0.49668 0.073113 0.13363 0.000000 0.07625 0.374507 0.219764 0.425682 0.49406
0.3659 2.7333 0.225162 0.48260 0.068305 0.12296 0.000000 0.06976 0.372008 0.226179 0.451933 0.49424
0.3571 2.8000 0.220801 0.46655 0.063705 0.11838 0.000000 0.06630 0.369235 0.233349 0.484327 0.49533
0.3488 2.8667 0.217180 0.45187 0.059394 0.11179 0.000000 0.06227 0.367447 0.237926 0.504773 0.49565
0.3409 2.9333 0.213939 0.44236 0.055628 0.10575 0.000000 0.05874 0.365688 0.242238 0.523980 0.49598
0.3333 3.0000 0.210550 0.43013 0.051908 0.09817 0.000000 0.05439 0.363503 0.248125 0.550691 0.49618
0.3261 3.0667 0.207533 0.39330 0.048525 0.08912 0.000000 0.04833 0.361627 0.253041 0.573697 0.49671
0.3191 3.1333 0.204885 0.38282 0.045248 0.08436 0.000000 0.04533 0.360225 0.256740 0.591232 0.49692
0.3125 3.2000 0.202101 0.36243 0.042116 0.07883 0.000000 0.04204 0.358391 0.261653 0.614638 0.49732
0.3061 3.2667 0.199987 0.38154 0.039443 0.07572 0.000000 0.04167 0.357300 0.264521 0.628370 0.49730
0.3000 3.3333 0.197650 0.36591 0.036868 0.07054 0.000000 0.03838 0.355588 0.269282 0.651828 0.49749
