# annealed L=8 N_site=192 N_tri=384 N_bond=576 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
0.6000 1.6667 0.285448 0.67640 0.205706 0.27094 0.000000 0.18481 0.465347 0.089634 0.010797 -0.19551
0.5060 1.9762 0.221411 0.63552 0.151086 0.23764 0.000000 0.15724 0.458221 0.085502 0.023626 -0.13363
0.4375 2.2857 0.182123 0.51775 0.110064 0.18186 0.000000 0.11226 0.448711 0.091258 0.048542 0.10569
0.3853 2.5952 0.157664 0.43219 0.079678 0.14434 0.000000 0.08330 0.442456 0.091758 0.057222 0.10866
0.3443 2.9048 0.141065 0.39454 0.058165 0.10837 0.000000 0.06133 0.432913 0.104245 0.087544 0.21685
0.3111 3.2143 0.129010 0.32656 0.041775 0.08066 0.000000 0.04297 0.424955 0.113626 0.111268 0.27355
0.2838 3.5238 0.120281 0.30446 0.030334 0.05909 0.000000 0.03114 0.416533 0.127455 0.147147 0.31335
0.2609 3.8333 0.112979 0.26359 0.021920 0.04260 0.000000 0.02199 0.406084 0.148594 0.202577 0.38087
0.2414 4.1429 0.107806 0.24490 0.016148 0.03127 0.000000 0.01606 0.397920 0.166248 0.255506 0.40335
0.2246 4.4524 0.103989 0.24117 0.011915 0.02365 0.000000 0.01228 0.391534 0.179059 0.297763 0.41733
0.2100 4.7619 0.100693 0.21460 0.008597 0.01674 0.000000 0.00843 0.385301 0.192990 0.344500 0.42956
0.1972 5.0714 0.098025 0.20572 0.006292 0.01254 0.000000 0.00638 0.379362 0.206957 0.394843 0.44157
0.1858 5.3810 0.095464 0.18407 0.004592 0.00932 0.000000 0.00474 0.372591 0.224487 0.462435 0.45790
0.1757 5.6905 0.093719 0.17761 0.003389 0.00661 0.000000 0.00333 0.368039 0.236150 0.511147 0.46200
0.1667 6.0000 0.092078 0.16484 0.002499 0.00484 0.000000 0.00240 0.363290 0.248342 0.564151 0.46752
0.1585 6.3095 0.090772 0.14794 0.001788 0.00350 0.000000 0.00169 0.359498 0.258569 0.609653 0.47397
0.1511 6.6190 0.089619 0.14217 0.001373 0.00274 0.000000 0.00138 0.355723 0.269170 0.659125 0.47871
0.1443 6.9286 0.088991 0.13765 0.000999 0.00204 0.000000 0.00103 0.353961 0.273486 0.680044 0.48002
0.1382 7.2381 0.088005 0.12397 0.000718 0.00144 0.000000 0.00072 0.350577 0.283220 0.727910 0.48408
0.1325 7.5476 0.087114 0.10959 0.000495 0.00099 0.000000 0.00049 0.347467 0.292013 0.772559 0.48713
0.1273 7.8571 0.086605 0.09947 0.000373 0.00074 0.000000 0.00037 0.345674 0.297279 0.799731 0.48948
0.1224 8.1667 0.086281 0.10391 0.000321 0.00063 0.000000 0.00033 0.344480 0.300435 0.816757 0.48973
0.1180 8.4762 0.085802 0.08908 0.000226 0.00046 0.000000 0.00022 0.342757 0.305461 0.843413 0.49169
0.1138 8.7857 0.085343 0.07939 0.000132 0.00026 0.000000 0.00013 0.341106 0.310391 0.870159 0.49321
0.1099 9.0952 0.085059 0.07395 0.000108 0.00022 0.000000 0.00011 0.340021 0.313597 0.887763 0.49424
0.1063 9.4048 0.084850 0.06814 0.000087 0.00017 0.000000 0.00009 0.339227 0.315862 0.900277 0.49499
0.1029 9.7143 0.084627 0.06273 0.000073 0.00015 0.000000 0.00008 0.338363 0.318394 0.914389 0.49580
0.0998 10.0238 0.084409 0.05580 0.000047 0.00009 0.000000 0.00004 0.337541 0.320839 0.928174 0.49643
0.0968 10.3333 0.084262 0.04841 0.000031 0.00006 0.000000 0.00003 0.336986 0.322453 0.937221 0.49706
0.0940 10.6429 0.084166 0.04728 0.000024 0.00005 0.000000 0.00002 0.336617 0.323553 0.943517 0.49729
0.0913 10.9524 0.084044 0.04343 0.000015 0.00003 0.000000 0.00002 0.336146 0.324965 0.951576 0.49768
0.0888 11.2619 0.083955 0.03941 0.000016 0.00003 0.000000 0.00002 0.335787 0.326004 0.957512 0.49799
0.0864 11.5714 0.083826 0.03402 0.000009 0.00002 0.000000 0.00001 0.335288 0.327488 0.966066 0.49836
0.0842 11.8810 0.083770 0.03095 0.000004 0.00001 0.000000 0.00000 0.335071 0.328142 0.969815 0.49858
0.0820 12.1905 0.083692 0.02719 0.000012 0.00002 0.000000 0.00001 0.334744 0.329119 0.975465 0.49885
0.0800 12.5000 0.083631 0.02358 0.000001 0.00000 0.000000 0.00000 0.334522 0.329783 0.979310 0.49903
