# annealed L=24 N_site=1728 N_tri=3456 N_bond=5184 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
0.6000 1.6667 0.287537 0.65056 0.206313 0.27195 0.000001 0.18143 0.465423 0.088397 0.001052 -0.00328
0.5060 1.9762 0.225198 0.63680 0.153238 0.23824 0.000000 0.15732 0.459978 0.081606 0.003019 -0.39845
0.4375 2.2857 0.183085 0.53527 0.110139 0.18582 0.000000 0.11577 0.451283 0.084685 0.021600 0.34539
0.3853 2.5952 0.158130 0.43010 0.079521 0.14169 0.000000 0.08223 0.443735 0.088303 0.031414 0.39635
0.3443 2.9048 0.140756 0.37830 0.057262 0.10820 0.000000 0.06033 0.434169 0.100038 0.065168 0.45271
0.3111 3.2143 0.128881 0.32741 0.041543 0.07851 0.000000 0.04226 0.425081 0.113285 0.096903 0.46389
0.2838 3.5238 0.120385 0.29144 0.030342 0.05690 0.000000 0.03020 0.417002 0.126220 0.125976 0.47602
0.2609 3.8333 0.113483 0.28553 0.022201 0.04273 0.000000 0.02240 0.407488 0.144931 0.179595 0.47904
0.2414 4.1429 0.108041 0.25608 0.016149 0.03201 0.000000 0.01659 0.398817 0.163341 0.235148 0.48736
0.2246 4.4524 0.103997 0.24102 0.011753 0.02332 0.000000 0.01190 0.391905 0.177989 0.281671 0.48911
0.2100 4.7619 0.100672 0.21729 0.008597 0.01662 0.000000 0.00838 0.385194 0.193349 0.334301 0.49130
0.1972 5.0714 0.097722 0.20451 0.006309 0.01239 0.000000 0.00627 0.378107 0.210893 0.399918 0.49352
0.1858 5.3810 0.095620 0.18875 0.004600 0.00918 0.000000 0.00455 0.373188 0.222802 0.446508 0.49454
0.1757 5.6905 0.093876 0.17758 0.003394 0.00678 0.000000 0.00339 0.368672 0.233991 0.492297 0.49540
0.1667 6.0000 0.091962 0.16330 0.002492 0.00505 0.000000 0.00249 0.362838 0.250008 0.562999 0.49640
0.1585 6.3095 0.090648 0.15667 0.001824 0.00365 0.000000 0.00183 0.358931 0.260411 0.610979 0.49694
0.1511 6.6190 0.089556 0.14644 0.001326 0.00266 0.000000 0.00134 0.355566 0.269522 0.654416 0.49736
0.1443 6.9286 0.088779 0.13193 0.000962 0.00195 0.000000 0.00096 0.353189 0.275785 0.685122 0.49782
0.1382 7.2381 0.087937 0.12566 0.000717 0.00146 0.000000 0.00072 0.350311 0.283968 0.726338 0.49810
0.1325 7.5476 0.087250 0.10953 0.000511 0.00101 0.000000 0.00050 0.347978 0.290606 0.760574 0.49851
0.1273 7.8571 0.086699 0.10516 0.000392 0.00080 0.000000 0.00040 0.346011 0.296155 0.789853 0.49869
0.1224 8.1667 0.086134 0.09417 0.000292 0.00059 0.000000 0.00029 0.343953 0.302151 0.822069 0.49894
0.1180 8.4762 0.085717 0.08351 0.000213 0.00044 0.000000 0.00022 0.342444 0.306531 0.846004 0.49914
0.1138 8.7857 0.085457 0.08465 0.000149 0.00030 0.000000 0.00015 0.341528 0.309039 0.859907 0.49915
0.1099 9.0952 0.085080 0.07169 0.000110 0.00021 0.000000 0.00010 0.340100 0.313323 0.883825 0.49935
0.1063 9.4048 0.084872 0.06956 0.000083 0.00017 0.000000 0.00008 0.339322 0.315512 0.896194 0.49939
0.1029 9.7143 0.084611 0.06003 0.000066 0.00013 0.000000 0.00006 0.338313 0.318568 0.913585 0.49953
0.0998 10.0238 0.084495 0.05984 0.000044 0.00009 0.000000 0.00005 0.337890 0.319689 0.920020 0.49954
0.0968 10.3333 0.084274 0.04950 0.000032 0.00006 0.000000 0.00003 0.337033 0.322328 0.935217 0.49965
0.0940 10.6429 0.084142 0.04371 0.000024 0.00005 0.000000 0.00002 0.336518 0.323846 0.944022 0.49971
0.0913 10.9524 0.084034 0.04295 0.000017 0.00003 0.000000 0.00002 0.336103 0.325079 0.951214 0.49973
0.0888 11.2619 0.083937 0.03716 0.000014 0.00003 0.000000 0.00001 0.335721 0.326186 0.957685 0.49978
0.0864 11.5714 0.083835 0.03432 0.000009 0.00002 0.000000 0.00001 0.335320 0.327400 0.964810 0.49981
0.0842 11.8810 0.083774 0.03031 0.000008 0.00002 0.000000 0.00001 0.335081 0.328111 0.968990 0.49984
0.0820 12.1905 0.083712 0.02724 0.000005 0.00001 0.000000 0.00000 0.334840 0.328827 0.973213 0.49986
0.0800 12.5000 0.083657 0.02505 0.000003 0.00001 0.000000 0.00000 0.334624 0.329473 0.977032 0.49988
