D3,n3_mean,n3_se,nv_mean,nv_se
0.5,8.115555555555556,0.1423460906943803,1.6277777777777778,0.06754371997551749
0.75,7.153333333333334,0.16294386280730092,1.7888888888888888,0.09770460515261781
1.0,7.067777777777777,0.25015695371105656,3.0811111111111105,0.1660039185656172
1.25,6.428888888888889,0.23917553861464375,4.183333333333334,0.23756292437918697
1.5,6.2299999999999995,0.21188414627613672,5.92,0.2543647083483261
1.6,6.320000000000001,0.12295426887665845,6.687777777777779,0.12227602438247026
1.7,6.086666666666667,0.13071763803709674,7.6722222222222225,0.19022795583438318
1.8,5.721111111111112,0.11504325726872051,8.093333333333334,0.19925403668847938
1.9,5.325555555555557,0.10083537831855979,8.902222222222223,0.16876028578147625
2.0,4.745555555555556,0.11886525349621144,9.116666666666667,0.24465029646551442
2.1,4.374444444444444,0.09967614651840967,9.844444444444445,0.24735295092823859
2.2,3.983333333333334,0.09893106853683065,10.316666666666666,0.27524863948378675
2.3,3.512222222222222,0.07919588423670802,11.256666666666664,0.2239842974791791
2.4,3.118888888888889,0.07778352469189799,11.62111111111111,0.17201742860207303
2.5,2.6788888888888893,0.06067907189351046,11.93222222222222,0.23482002202025318
2.75,1.95,0.04070734728037881,13.17222222222222,0.16263383982988236
3.0,1.3366666666666664,0.03067357909767881,13.635555555555554,0.23364474748846487
3.5,0.5877777777777777,0.020867723850010317,15.108888888888892,0.2528152260585442
