T,dA_mean,dA_se,dB_mean,dB_se,ratio,ratio_se
0.3,5.900416666666667,0.05681945058153468,24.091666666666665,0.14007400363995626,4.083044982698961,0.045929598772407744
0.4,6.505,0.04573007015344837,26.749166666666667,0.17152424388207108,4.112093261593646,0.03912729415189599
0.5,6.941249999999999,0.06318918452797545,29.511666666666667,0.20273609219111208,4.251635752446125,0.04848824654025459
0.6,8.252916666666668,0.28175710851370817,33.33291666666666,0.4080342911176951,4.038925632352198,0.14648594130113265
0.7,11.344166666666668,1.1198709527685324,35.55041666666666,1.182722318400655,3.133805920810989,0.3264580269139738
0.8,4.837083333333334,0.9405421179327456,10.612916666666662,1.301112482504734,2.1940735636144355,0.504343656625509
0.9,1.861250000000004,0.4621443683534988,4.42708333333334,0.5677649887436009,2.378553839265725,0.6647170494738068
1.0,1.2495833333333324,0.23298928198512162,3.118333333333335,0.3869408473826699,2.4954984994998366,0.5589148939405413
1.2,0.7987500000000054,0.15842483579560995,2.569583333333334,0.2774777573155055,3.2170057381324777,0.7265022044199585
1.4,0.9350000000000023,0.08382929337260585,1.9970833333333347,0.26555717878933865,2.1359180035650587,0.3425473470474623
1.6,0.9141666666666624,0.11491132156302959,1.867499999999994,0.23117203390388602,2.0428441203281706,0.36039755895240716
1.8,0.6020833333333329,0.08866930844820987,1.409583333333336,0.19947660101338177,2.3411764705882416,0.4781681628303087
2.0,0.544166666666672,0.10745129089280402,0.9970833333333473,0.2019834760772824,1.8323124042879098,0.5183433612578964
2.5,0.4037499999999909,0.09980837676592909,0.7487499999999955,0.1870384989964309,1.8544891640867178,0.651741650863499
3.0,0.33083333333333087,0.08095659823461436,0.429583333333332,0.12369473427080348,1.2984886649874112,0.4906684458512355
4.0,0.3804166666666589,0.06300829632661771,0.35791666666666233,0.12476899951807235,0.9408543263965029,0.3631182068404879
